,crítico,técnico
textil,6.89,16.83
biologica,10.12,27.67
mecanica,36.98,99.94
militar,2.68,5.73
oceanica,10.4,25.94
religiosa,1.18,0.62
antropomorfica,10.46,12.4
extrativa,2.73,6.23
caixa,8.28,2.94
