categoria_wos,textil,biologica,mecanica,militar,oceanica,religiosa,antropomorfica,extrativa,caixa
Arts and Humanities,28,218,194,91,77,19,385,31,6
Computer Science,587,1711,1403,572,686,13,1263,355,63
Engineering,401,1005,1999,603,841,8,653,216,37
Social Sciences,218,2281,987,372,395,58,2171,150,44
