termo,frequencia
data,7592
how,5180
social,4565
ai,4322
research,3344
media,3325
digital,3190
analysis,2635
system,2284
human,2134
systems,2133
information,2053
control,1998
learning,1986
time,1944
different,1889
online,1844
technology,1815
public,1741
political,1625
practices,1599
users,1582
network,1492
power,1478
science,1477
performance,1467
design,1448
knowledge,1429
technologies,1423
process,1396
